"ID","INVENTARIO_ID","FECHA_VENC","LOTE","CANTIDAD",,,,,,
"#VALUE!",1000116,2021-09-01,20210901,2011,,,,,,
"#VALUE!",1000117,2022-10-01,20221001,2207,,,,,,
"#VALUE!",1000118,2021-09-01,20210901,2685,,,,,,
"#VALUE!",1000119,2021-11-01,20211101,1053,,,,,,
"#VALUE!",1000220,2021-02-05,95,0,,,,,," "
"#VALUE!",1000114,2021-08-01,1801,5,,,,,,
"#VALUE!",10001150,2023-05-01,1805,0,,,,,," "
"#VALUE!",10001177,2022-07-07,7569,0,,,,,,
"#VALUE!",1000121,2021-04-01,8011,0,,,,,,
"#VALUE!",10001153,2023-09-01,160599,0,,,,,,
"#VALUE!",10001143,2022-03-02,170615,274,,,,,,
"#VALUE!",10001145,2023-02-01,180012,3608,,,,,,
"#VALUE!",1000157,2022-04-01,180324,31,,,,,,
"#VALUE!",10001136,2023-03-01,180401,0,,,,,,
"#VALUE!",10001125,2021-03-02,180613,1,,,,,,
"#VALUE!",10001165,2023-02-01,180710,0,,,,,,
"#VALUE!",1000182,2021-12-01,180721,0,,,,,,
"#VALUE!",1000171,2021-06-01,180743,0,,,,,,
"#VALUE!",10001166,2021-04-01,180768,902,,,,,,
"#VALUE!",1000184,2020-11-01,181044,884,,,,,,
"#VALUE!",10001160,2023-06-01,190044,0,,,,,,
"#VALUE!",10001162,2022-11-01,190059,0,,,,,,
"#VALUE!",10001105,2021-08-01,190104,59,,,,,,
"#VALUE!",1000189,2021-12-01,190105,2,,,,,,
"#VALUE!",10001122,2022-03-01,190140,975,,,,,,
"#VALUE!",10001163,2023-03-01,190231,2407,,,,,,
"#VALUE!",10001159,2021-02-01,190232,0,,,,,,
"#VALUE!",10001120,2023-02-01,190236,0,,,,,,
"#VALUE!",10001142,2022-03-01,190260,5,,,,,,
"#VALUE!",10001126,2022-03-01,190261,0,,,,,,
"#VALUE!",10001140,2023-06-01,190277,0,,,,,,
"#VALUE!",10001138,2023-03-01,190313,0,,,,,,
"#VALUE!",10001124,2021-03-01,190321,0,,,,,,
"#VALUE!",10001128,2023-02-02,190325,0,,,,,,
"#VALUE!",10001154,2023-03-01,190351,0,,,,,,
"#VALUE!",10001171,2022-07-01,190370,430,,,,,,
"#VALUE!",10001148,2023-09-02,190391,0,,,,,,
"#VALUE!",10001144,2023-06-01,190409,0,,,,,,
"#VALUE!",10001161,2022-10-01,190416,0,,,,,,
"#VALUE!",10001134,2023-04-01,407519,0,,,,,,
"#VALUE!",1000120,2021-04-01,18002921,0,,,,,,
"#VALUE!",1000131,2021-01-01,19003451,244,,,,,,
1,100011,2022-11-01,20221101,2083,,,,,,
2,100012,2022-01-01,20220101,0,,,,,,
3,100018,2022-08-01,20220801,3511," ",,,,,
4,100019,2021-11-01,20211101,0,,,,,,
5,1000110,2021-07-01,20210701,74,,,,,,
6,1000111,2021-10-01,20211001,3,,,,,,
7,1000113,2021-08-01,20210801,0,,,,,,
8,1000115,2021-08-02,20210802,3663,,,,,,
